Station,Zip Code,Walkability Score,Niche Ranking,Avg Age,Avg Household Income
Forest Hills–71st Avenue (Queens terminal),11375,92,45,44.5,104319
67th Avenue (Forest Hills / Queens),11375,95,45,44.5,104319
63rd Drive–Rego Park,11374,89,49,42.4,86333
Woodhaven Boulevard,11421,81,158,39,89429
Grand Avenue–Newtown,11373,90,NA,38.3,71470
Elmhurst Avenue,11373,96,587,38.3,71470
Jackson Heights–Roosevelt Avenue,11372,94,125,42.4,77133
65th Street,11373,87,NA,38.3,71470
Northern Boulevard,11101,98,NA,33.4,116807
46th Street,11103,94,NA,36.4,92787
Steinway Street,11103,100,55,36.4,92787
36th Street,11106,98,NA,36.4,85573
Queens Plaza,11101,98,NA,33.4,116807